tweet_id,full_text,mp_party,mp_name,created_at,label_1,label_2,label_3,majority_vote,tie_break,final_label
1397926571491565570,"#Βουλή: Κοινή Συνεδρίαση Επιτροπών Ευρωπαϊκών Υποθέσεων και Εθνικής Άμυνας &amp; Εξωτερικών Υποθέσεων - Ενημέρωση από τον @EP_President David Maria Sassoli

🆕 https://t.co/yjhmxqZwo9

#Ευρώπη #Τουρκία https://t.co/EtmuCyJUIt",New Democracy,Nikitas Kaklamanis,2021-05-27 14:44:01+00:00,0,0,0,0,,0
1364240889825157124,"Στη σημερινή διαδικτυακή ημερίδα της ΕΛΕΤΑΕΝ συζητησαμε για τις καθοριστικές αλλαγές που πρέπει να πραγματοποιήσει και η Ελλάδα στην προσπάθεια ανάσχεσης της κλιματικής αλλαγής,με τη μετάβαση σε ένα πιο «πράσινο» &amp; καθαρό ενεργειακό μείγμα να αποτελεί το μεγάλο μας στοίχημα (1/3) https://t.co/0iVlEWZLYj",New Democracy,Kostas Skrekas,2021-02-23 15:49:09+00:00,1,1,0,1,,1
1399970483404259330,"Στις πόσες λαθροχειρίες της κυβέρνησης, στα πόσα ψέματα, στις πόσες αλχημείες ξυπνάει η συνείδηση των βουλευτών της συμπολίτευσης; 

Η ομιλία μου στη #vouli για τη συζήτηση και ψήφιση του σχεδίου νόμου για την εκλογή Δημοτικών και Περιφερειακών Αρχών.👇🏻👇🏻

https://t.co/oqb1FFI9Vi",Syriza,Christos Giannoulis,2021-06-02 06:05:48+00:00,0,-1,-1,-1,,-1
1373742067457925124,Εποχή Μητσοτάκη... Στις συνεντεύξεις του μας λέει ότι είναι και «προοδευτικός». https://t.co/4S5vI9mho6,Syriza,Kostas Zachariadis,2021-03-21 21:03:26+00:00,-1,-1,-1,-1,,-1
1398551685782458370,"ΣΩΠΑΣΕ ΚΥΡΑ ΔΕΣΠΟΙΝΑ ΚΑΙ ΜΗΝ ΠΟΛΥΔΑΚΡΥΖΕΙΣ ΠΑΛΙ ΜΕ ΧΡΟΝΙΑ ΜΕ ΚΑΙΡΟΥΣ ΠΑΛΙ ΔΙΚΑ ΜΑΣ ΘΑΝΑΙ!
@ellinikilisi https://t.co/wDQb1guAjs",Greek Solution,Anastasia-Aikaterini Alexopoulou,2021-05-29 08:08:00+00:00,1,1,1,1,,1
1384376983254077440,Ο Σπύρος είναι ένας εκπληκτικός άνθρωπος. Μπράβο του για όσα κάνει!  https://t.co/pIHnNnY3YY,New Democracy,Adonis Georgiadis,2021-04-20 05:22:47+00:00,1,1,1,1,,1
1394306048870191108,«Ο σεβασμός της διαφορετικότητας είναι δημοκρατικό και ηθικό χρέος όλων μας» https://t.co/rLlUhNXKOA,MfC,Nadia Giannakopoulou,2021-05-17 14:57:21+00:00,1,0,1,1,,1
1367080784973221888,"Δημόσιες Συμβάσεις : Ένα Νομοσχέδιο κατώτερο των περιστάσεων @Arvanitidis_Geo @kinimallagis #Βουλή #Νομοσχέδιο #δημοσιεςΣυμβασεις

https://t.co/je11pbCWkN",MfC,Giorgos Arvanitidis,2021-03-03 11:53:52+00:00,-1,-1,-1,-1,,-1
1385157863283302402,"Σήμερα, στις 14:30 στο κεντρικό μαγκαζίνο του Αθήνα 9,84 και στη δημοσιογράφο Κατερίνα Παπαβασιλείου. https://t.co/hpvD286DtD",New Democracy,Kostas Skrekas,2021-04-22 09:05:44+00:00,0,0,0,0,,0
1410549305186848773,"Η χώρα δεν παράγει πλούτο, παράγει μόνο χρέη! Διαπράξατε έγκλημα κατά του έθνους! @velopky @ellinikilisi https://t.co/8R5IFozMYG",Greek Solution,Kyriakos Velopoulos,2021-07-01 10:42:15+00:00,-1,-1,-1,-1,,-1
1395645872843771904,"Σας ευχαριστώ θερμά για τις ευχές σας, για την ονομαστική μου εορτή https://t.co/FJV6769CkG",New Democracy,Konstantinos Tsiaras,2021-05-21 07:41:20+00:00,1,1,1,1,,1
1376602342712283139,"Άλλη μια δικαιωσημας:ευρωπαίοι πολιτικοί, όπως ο γερμανός υπουργός Υγείας Γενς Σπαν τάσσονται υπέρ της αγοράς του ρωσικού εμβολίου Sputnik V. Από τις αρχές Μαρτίου ο Ευρωπαϊκός Οργανισμός Φαρμάκων EMA εξετάζει το εμβόλιο.Εάν άκουγε η ΝΔ @ellinikilisi από Σεπτέμβριο θα τα είχαμε. https://t.co/hBMhCWa4wZ",Greek Solution,Kyriakos Velopoulos,2021-03-29 18:29:09+00:00,-1,1,-1,-1,,-1
1415929191976083456,"Είμαστε μπροστά στο τέταρτο και άκρως μεταδοτικό νέο κύμα της πανδημίας. Η χώρα πρέπει να προστατευτεί χωρίς να ξανακλείσει και οι πολίτες πρέπει να προστατευτούν χωρίς να ξανα-εγκλειστούν. Γιατί κάτι τέτοιο δεν το αντέχει ούτε η κοινωνία, ούτε η οικονομία. #ant1 #KalokairiMazi https://t.co/VcDcgm9wC1",New Democracy,Giorgos Koumoutsakos,2021-07-16 07:00:00+00:00,1,-1,0,TIE,0,0
1379043779508891650,Συνάντηση με τον Υπουργό Ναυτιλίας για την ακτοπλοϊκή σύνδεση της Νότιας Καρυστίας με τις Κυκλάδες https://t.co/O4SggDSezY,New Democracy,Simos Kedikoglou,2021-04-05 12:10:33+00:00,0,0,0,0,,0
1415220347729850369,"Τα αγροτικά προϊόντα της Φθιώτιδας στις αγορές του κόσμου. Με αυτό τον στόχο συναντήθηκα με τον Υφυπουργό για την Οικονομική Διπλωματία και την Εξωστρέφεια κ. Κώστα Φραγκογιάννη και τον Πρόεδρο της Enterprise Greece κ. Γιάννη Σμυρλή: https://t.co/QNJpat1067
#metonThemi https://t.co/XVIFkd8bex",New Democracy,Themis Heimaras,2021-07-14 08:03:19+00:00,1,1,0,1,,1
1411602571228286976,"Η αποκατάσταση των ζημιών που υπέστησαν οι αγρότες μας στην παραγωγή τους, πρέπει να είναι άμεση και ολοκληρωτική. https://t.co/wzGw6oD3RE",MfC,İlhan Ahmet,2021-07-04 08:27:33+00:00,1,0,1,1,,1
1400007760973111304,"Πιστεύω πως τα θέματα παιδεραστίας πρέπει να αντιμετωπιστούν πολύ πιο σκληρά από τη νομοθεσία. 
Αυτή είναι η προσωπική μου άποψη. 
Το αδίκημα της παιδεραστίας είναι ένα από τα εφιαλτικότερα εγκλήματα τα οποία αντιμετωπίζουμε. #Mega",New Democracy,Dora Bakoyannis,2021-06-02 08:33:55+00:00,-1,-1,-1,-1,,-1
1372467900980862976,"Κλείνουμε, επίσης, οριστικά το ζήτημα των αποζημιώσεων που διεκδικούσε η Ελληνικός Χρυσός από το Δημόσιο, οι οποίες ανέρχονται σε περισσότερα από 800 εκατομμύρια ευρώ λόγω των χειρισμών της προηγούμενης κυβέρνησης. (3/3)",New Democracy,Kostas Skrekas,2021-03-18 08:40:21+00:00,-1,0,0,0,,0
1404679955347279872,"Καλημέρα. Σε λίγο η ομιλία μου στην ολομέλεια του Ελληνικού Κοινοβουλίου🇬🇷 για το εργασιακό νομοσχέδιο του Υπουργείου Εργασίας και Κοινωνικών Υποθέσεων  #marilenasoukouli #Υπουργείο_Εργασίας #korinthia #Βουλή🇬🇷 
Μπορείτε να την παρακολουθήσετε live εδώ: https://t.co/XFXef5qBaD https://t.co/yKyCvKUsgS",New Democracy,Marilena Soukouli-Viliali,2021-06-15 05:59:33+00:00,0,0,0,0,,0
1380065462013267968,Marfin: Δύο εμπρησμοί δείχνουν τους δράστες του φρικτού εγκλήματος https://t.co/2vpGgBruDl via @MeaCulpagr,New Democracy,Konstantinos Bogdanos,2021-04-08 07:50:21+00:00,-1,-1,-1,-1,,-1
1369331760283197442,@00efta @kanekos69 Για το κάλεσμα μίλησα όχι επί παντός επιστητού.,MeRA25,Maria Apatzidi,2021-03-09 16:58:27+00:00,-1,0,0,0,,0
1351807172594827264,"Η σημερινή μας συζήτηση με τον Γιώργο Παπαδάκη στην τηλεόραση του @AntennaTV 
https://t.co/6BT4o30amt",New Democracy,Konstantinos Tsiaras,2021-01-20 08:21:59+00:00,0,0,0,0,,0
